race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5376,70,70,Accident,#38 Incident Turn 1,6,2
5376,74,74,Accident,#42 Incident Turn 4,7,2
5376,75,75,Unknown,Halfway Break,47,2
5376,77,77,Accident,"#48, 45, 23 Incident Turn 4",42,2
5376,77,77,Accident,"#34, 47, 1 Incident Turn 2",42,2
5376,140,140,Accident,"#34, 1 Incident Turn 3",None,2
5376,149,149,Accident,"#5, 54, Incident Turn 4",41,2
5383,51,54,Accident,"#3, 31, 47, 84 Incident Turn 4",62,2
5384,49,52,Accident,"#6, 8, 10, 12, 14, 15, 21, 23, 24, 51, 78 Incident Frontstretch [Red Flag: 00:08:49]",None,2
5385,6,11,Accident,"#3, 21, 36, 41, 42, 77, 84 Incident Frontstretch",None,2
5385,67,70,Competition,Stage 1 Conclusion,16,2
5385,132,136,Competition,Stage 2 Conclusion,54,2
5385,193,196,Accident,"#2, 5, 6, 9, 10, 11, 12, 14, 17, 19, 20, 22, 24, 31, 38, 41, 43, 45, 47, 48, 54, 62, 99, Incident Backstretch [Red Flag: 00:15:27]",None,2
5385,200,200,Accident,"#1, 2 Incident Frontstretch",None,2
5389,3,10,Accident,"#3, 9, 10, 16, 20, 21, 23, 31, 42, 43, 45, 48, 51, 54, 77, 99 Incident Turn 1",None,2
5389,26,31,Spin,#17 Spin Turn 4,77,2
5389,54,59,Accident,"#8, 11 Incident Frontstretch ",3,2
5389,62,68,Competition,Stage 1 Conclusion,3,2
5389,161,170,Accident,"#11, 17, 22 Incident Turn 2 / Stage 2 Conclusion",34,2
5389,176,180,Spin,#15 Spin Turn 1,8,2
5389,200,205,Accident,"#1, 9 Incident Turn 3",23,2
5389,220,225,Accident,"#5, 6, 7 Incident Turn 4",4,2
5389,241,245,Accident,"#11, 14 Incident Turn 3 [Red Flag: 00:11:25]",24,2
5389,250,255,Accident,"#4, 9, 77 Incident Backstretch",11,2
5429,24,29,Accident,"#1, 14, 15, 91 Incident Turn 1",None,2
5429,32,35,Competition,Stage 1 Conclusion,None,2
5429,38,42,Accident,"#21, 16, 97, 48, 2, 20, 10, 5, 11, 35, 51 Incident Backstretch",None,2
5429,46,48,Accident,"#00, 7 Incident Backstretch",20,2
5429,52,56,Spin,#20 Spin Frontstretch,97,2
5429,62,66,Competition,Stage 2 Conclusion,20,2
5429,98,102,Spin,#27 Spin Frontstretch,07,2
5429,104,109,Accident,"#6, 27, 42, 51 Incident Backstretch",None,2
5429,113,117,Accident,"#7, 00, 44, 10, 26 Incident Backstretch",97,2
5433,42,47,Competition,Stage 1 Conclusion,4,2
5433,59,63,Accident,"#14, 91 Incident Turn 1",5,2
5433,82,87,Competition,Stage 2 Conclusion,78,2
5433,162,167,Unknown,#39 Stopped On Track,None,2
5431,9,13,Accident,"#1, 31 incident turn 4",None,2
5431,47,53,Competition,Stage 1 Conclusion,14,2
5431,92,96,Competition,Stage 2 Conclusion,14,2
5431,124,128,Unknown,#31 stalled on track,51,2
5462,7,12,Accident,"#15, 71, 42, 9, 46, 88, 33, 25, 27, 13, 52, 38, 2 Incident Backstretch",None,2
5462,17,19,Accident,"#33, 27 Incident Turn 2",15,2
5462,22,26,Competition,Stage 1 Conclusion,52,2
5462,33,37,Debris,Debris Turn 3,27,2
5462,40,44,Weather,Weather / Stage 2 Conclusion [Red Flag: 00:07:10],27,2
5462,48,51,Accident,#27 Incident Turn 4,None,2
5462,58,61,Accident,"#32, 41 Incident Frontstretch",None,2
5462,74,77,Accident,"#99, 15, 1 Incident Turn 4",None,2
5462,80,84,Accident,"#19, 45, 75, 7 Incident Turn 4",41,2
5462,87,91,Accident,"#5, 1 Incident Turn 4",19,2
5462,95,99,Accident,"#77, 18, 19 Incident Backstretch",5,2
5462,101,101,Accident,"#71, 7, 43, 5, 17, 87, 97, 88, 52, 43, 04, 9 Incident Backstretch",None,2
5464,17,21,Spin,#22 Spin Turn 3,None,2
5464,32,36,Competition,Stage 1 Conclusion,22,2
5464,50,54,Accident,"#13, 38, 43, 46 Incident Turn 3",22,2
5464,60,66,Accident,"#32, 91 Incident Frontstretch / Stage 2 Conclusion",25,2
5464,80,85,Debris,Debris Frontstretch,25,2
5464,95,99,Debris,Debris Turn 4,1,2
5464,101,104,Debris,Debris Frontstretch,99,2
5463,4,7,Accident,#41 incident backstretch,None,2
5463,32,36,Competition,Stage 1 Conclusion,22,2
5463,62,66,Competition,Stage 2 Conclusion,22,2
5463,68,72,Accident,#5 incident turn 4,46,2
