race_id,start_lap,end_lap,car_number
5376,1,2,22
5376,3,49,11
5376,50,70,54
5376,71,71,6
5376,72,77,22
5376,78,140,54
5376,141,151,11
5383,0,0,22
5383,1,4,5
5383,5,9,43
5383,10,17,47
5383,18,18,7
5383,19,24,47
5383,25,25,19
5383,26,26,47
5383,27,39,19
5383,40,43,5
5383,44,44,38
5383,45,45,22
5383,46,54,5
5383,55,56,99
5383,57,59,5
5383,60,60,45
5384,1,6,34
5384,7,10,24
5384,11,11,15
5384,12,12,24
5384,13,14,15
5384,15,16,16
5384,17,20,15
5384,21,41,23
5384,42,42,34
5384,43,43,21
5384,44,44,12
5384,45,54,34
5384,55,59,11
5384,60,60,20
5462,0,0,98
5462,1,1,45
5462,2,2,98
5462,3,13,45
5462,14,14,98
5462,15,22,45
5462,23,26,98
5462,27,41,18
5462,42,44,32
5462,45,45,15
5462,46,51,32
5462,52,52,45
5462,53,56,32
5462,57,58,45
5462,59,60,9
5462,61,63,2
5462,64,68,99
5462,69,69,45
5462,70,70,18
5462,71,71,77
5462,72,72,19
5462,73,77,7
5462,78,90,2
5462,91,91,71
5462,92,101,2
